steps,sleep_hours,smoker,alcohol_level,stress_level,bmi
3604,7.7,1,1,2,22.5
16304,8.7,1,2,8,25.0
16788,4.2,0,1,5,24.7
13336,9.1,0,0,9,28.3
2802,3.7,0,1,1,35.6
2166,8.5,0,0,0,23.5
1944,4.0,0,1,0,28.2
12761,4.7,0,0,10,24.5
15381,3.5,1,0,0,34.3
11737,6.2,0,2,10,20.7
5455,5.5,0,0,7,19.6
13874,4.5,0,2,1,27.8
2005,6.2,1,2,9,31.3
15079,5.9,0,1,1,33.8
16162,8.1,0,2,1,29.6
13211,8.9,0,0,6,33.4
15947,7.4,0,0,3,25.6
10964,4.2,0,0,3,18.2
8962,5.3,1,1,2,19.9
6481,9.0,0,1,6,18.3
16669,4.0,0,2,0,24.2
12853,5.9,1,1,2,27.7
4238,9.2,0,0,6,24.8
17268,9.2,0,2,5,29.0
2006,6.0,0,2,7,27.4
10987,7.5,1,2,2,31.4
4239,6.2,1,1,7,31.2
12293,8.0,1,1,8,24.0
8015,3.7,1,1,4,24.6
8431,4.4,1,2,2,29.5
12416,7.2,1,0,6,29.7
13854,4.9,1,2,6,24.0
7460,7.5,1,0,1,24.3
17960,5.6,1,1,6,31.7
9474,8.8,0,0,1,30.8
3726,8.4,0,1,6,20.3
1108,6.5,1,2,10,26.5
4440,8.1,0,2,5,35.8
12748,5.1,0,2,8,18.2
10170,6.5,1,0,3,35.0
6743,4.7,1,0,10,20.8
9183,8.7,1,2,8,27.9
15248,8.4,0,1,10,26.2
10716,8.9,0,0,8,17.7
1987,8.8,0,2,7,36.3
1834,9.3,0,1,5,26.8
9194,4.9,1,0,10,37.1
7872,9.1,0,2,9,23.4
15458,6.9,0,1,4,35.3
10910,6.0,0,1,0,36.4
13866,6.9,1,2,0,28.9
10948,5.6,0,1,2,21.7
6869,5.2,0,1,0,31.5
12174,4.9,1,1,2,28.8
11564,4.0,1,0,1,36.9
13243,6.5,0,0,10,26.5
4217,8.8,1,2,1,23.0
11906,7.3,1,0,6,20.3
5852,6.6,0,1,3,31.8
14434,6.1,0,0,1,37.5
14574,6.3,1,0,7,18.1
11620,4.8,0,1,10,32.7
17093,8.4,1,2,8,36.5
10137,4.7,1,1,10,19.0
1427,7.8,1,0,6,19.8
11305,8.1,1,0,7,31.7
14220,6.9,0,0,1,30.8
